student_id,district,al_passed,ol_passed,stream,career_interest,budget,preferred_city,hostel_required,sports_or_extracurricular,university_id,university_name,university_type,location,degree_programs,program_description,language_mediums,hostel_available,semester_fee_lkr,entry_requirements,ranking_score,international_affiliation,recommended_university_id
1,Ampara,FALSE,FALSE,Arts,Business,65246,Moneragala,FALSE,TRUE,P024,Imperial College of Business Studies,Private,Colombo,Higher Diploma in Human Resource Management,1-year intensive HR certification program.,"English,Sinhala,Tamil",FALSE,165146,A/L pass or O/L pass,30,TRUE,P024
2,Gampaha,TRUE,TRUE,Technology,IT,211421,Ampara,FALSE,FALSE,P005,Asia Pacific Institute of IT (APIIT),Private,"Colombo, Kandy",BA (Hons) Business Management,3-year UK-linked degree with entrepreneurship focus.,"English,Sinhala,Tamil",FALSE,61804,A/L pass or O/L pass,46,TRUE,P005
3,Badulla,FALSE,TRUE,Commerce,Medicine,83799,Nuwara Eliya,FALSE,FALSE,P021,AIMS Institute,Private,Colombo,BA in English,3-year literature degree with creative writing focus and TESL certification.,"English,Sinhala,Tamil",FALSE,74011,A/L pass or O/L pass,30,TRUE,P021
4,Moneragala,TRUE,TRUE,Arts,Agriculture,286061,Kilinochchi,FALSE,FALSE,P018,Aquinas College of Higher Studies,Private,Colombo,Diploma in Business,1-year management foundations course.,"English,Sinhala,Tamil",FALSE,98257,A/L pass or O/L pass,25,TRUE,P018
5,Kalutara,FALSE,TRUE,Commerce,Law,131298,Anuradhapura,TRUE,TRUE,G012,The Open University of Sri Lanka,Public,Nawala,Diploma in Accounting,1-year foundational program with QuickBooks training.,"English,Sinhala,Tamil",TRUE,13752,Z-score,50,TRUE,G012
6,Jaffna,TRUE,TRUE,Technology,Engineering,195999,Kalutara,FALSE,FALSE,P010,Sri Lanka International Buddhist Academy (SIBA),Private,"Pallekele, Kandy",Higher Diploma in Hospitality,2-year hotel operations program.,"English,Sinhala,Tamil",FALSE,201901,A/L pass or O/L pass,25,TRUE,P010
7,Moneragala,FALSE,TRUE,Arts,Engineering,293440,Matale,FALSE,FALSE,P007,ESOFT Metro Campus,Private,"Colombo, Kandy, Galle, Negombo",BSc in Psychology,3-year behavioral science program with NIMH internships and cognitive labs.,"English,Sinhala,Tamil",FALSE,85023,A/L pass or O/L pass,30,TRUE,P007
8,Kandy,TRUE,TRUE,Commerce,Business,47054,Puttalam,TRUE,FALSE,P019,Management & Science University (MSU) Sri Lanka,Private,Colombo,Bachelor of Mathematics,"Data science applications program with statistics, modeling, and industry-aligned projects.","English,Sinhala,Tamil",TRUE,178009,A/L pass or O/L pass,40,TRUE,P019
9,Jaffna,FALSE,FALSE,Technology,Design,151627,Polonnaruwa,FALSE,FALSE,P006,ICBT Campus,Private,"Colombo, Kandy, Kurunegala, Matara",BBA in International Business,3-year degree with import/export case studies.,"English,Sinhala,Tamil",FALSE,180702,A/L pass or O/L pass,38,TRUE,P006
10,Mannar,FALSE,FALSE,Physical Science,IT,260101,Badulla,TRUE,FALSE,P000,Sri Lanka Institute of Information Technology (SLIIT),Private,"Malabe, Colombo",Bachelor of Herbal Medicine,"Formulation science program with pharmacognosy, standardization, and clinical applications.","English,Sinhala,Tamil",TRUE,52028,A/L pass or O/L pass,50,FALSE,P000
